Item,Category,Route,Research Date,Research Window,Average Sale Price,Sales Volume,Buying Price,Fees,Shipping,Supplies,Net Profit,Net Margin %,Decision,Notes
"iMac","Computers","FB Local","2026-07-03","Last 30 Days",111.42,24,40,0,0,0,"=F2-H2-I2-J2-K2","=IF(F2=0,0,L2/F2)","=IF(AND(L2>=20,M2>=0.30,G2>=5),""BUY"",""PASS"")","Live eBay Product Research metric for 'iMac 21.5 2011' in Apple Desktops; local route still preferred"
"2012 MacBook","Computers","Both","2026-07-03","Last 30 Days",118.92,272,45,18,18,3,"=F3-H3-I3-J3-K3","=IF(F3=0,0,L3/F3)","=IF(AND(L3>=20,M3>=0.30,G3>=5),""BUY"",""PASS"")","Live eBay Product Research metric for '2012 MacBook Pro 13' in Apple Laptops"
"Nissan Altima Driver Door Handle","Auto Parts","eBay","2026-07-03","Last 30 Days",19.49,55,6,3,5,1,"=F4-H4-I4-J4-K4","=IF(F4=0,0,L4/F4)","=IF(AND(L4>=20,M4>=0.30,G4>=5),""BUY"",""PASS"")","Live eBay Product Research metric for 'Nissan Altima driver door handle' in Door Handles"
"Nissan Altima Instrument Cluster","Auto Parts","eBay","2026-07-03","Last 30 Days",70.72,62,20,9,12,2,"=F5-H5-I5-J5-K5","=IF(F5=0,0,L5/F5)","=IF(AND(L5>=20,M5>=0.30,G5>=5),""BUY"",""PASS"")","Live eBay Product Research metric for 'Nissan Altima instrument cluster' in Instrument Clusters"
"Dell 24-inch Monitor","Monitors","FB Local","2026-07-03","Last 30 Days",,,,,,,"=F6-H6-I6-J6-K6","=IF(F6=0,0,L6/F6)","=IF(AND(L6>=20,M6>=0.30,G6>=5),""BUY"",""PASS"")","Local route usually better than shipping"
"Dell 27-inch Monitor","Monitors","FB Local","2026-07-03","Last 30 Days",,,,,,,"=F7-H7-I7-J7-K7","=IF(F7=0,0,L7/F7)","=IF(AND(L7>=20,M7>=0.30,G7>=5),""BUY"",""PASS"")","Check stand, ports, and dead pixels"
"MacBook Charger","Accessories","Both","2026-07-03","Last 30 Days",,,,,,,"=F8-H8-I8-J8-K8","=IF(F8=0,0,L8/F8)","=IF(AND(L8>=20,M8>=0.30,G8>=5),""BUY"",""PASS"")","Low-ticket item; watch margin after fees"
"iMac Keyboard/Mouse Set","Accessories","Both","2026-07-03","Last 30 Days",,,,,,,"=F9-H9-I9-J9-K9","=IF(F9=0,0,L9/F9)","=IF(AND(L9>=20,M9>=0.30,G9>=5),""BUY"",""PASS"")","Bundle value may beat separate listings"
"Nissan Altima Tail Light","Auto Parts","eBay","2026-07-03","Last 30 Days",,,,,,,"=F10-H10-I10-J10-K10","=IF(F10=0,0,L10/F10)","=IF(AND(L10>=20,M10>=0.30,G10>=5),""BUY"",""PASS"")","Inspect lens damage and exact side"
"Baby Bottle Warmer","Baby Gear","FB Local","2026-07-03","Last 30 Days",,,,,,,"=F11-H11-I11-J11-K11","=IF(F11=0,0,L11/F11)","=IF(AND(L11>=20,M11>=0.30,G11>=5),""BUY"",""PASS"")","Check cleanliness and brand demand"
